Date,Open ,Close ,High,Low,Volume,ADS_Index,Mkt-RF,SMB,HML,RF,Returns,SP500,Open_Close,High_Low,HLOC,EWM_OpenClose
2016-01-27,597.97,596.0,603.39,578.78,38211,-0.238939663197664,-1.11,-0.54,1.72,0.0,0.007881239154145238,1882.95,596.985,591.085,594.0350000000001,592.8314019796073
2016-01-28,605.0,550.0,638.06,540.0,90388,-0.248822427978167,0.49,-0.47,1.26,0.0,-0.03022351329178754,1893.36,577.5,589.03,583.265,587.7209346530716
2016-01-29,556.5,586.5,593.0,556.5,112107,-0.259403266983392,2.57,0.46,0.37,0.0,0.08538868224790422,1940.24,571.5,574.75,573.125,582.3139564353811
2016-02-01,586.0,575.0,586.0,570.31,50347,-0.295673406460539,-0.04,-0.21,-0.96,0.001,-0.07915117054799119,1939.38,580.5,578.155,579.3275,581.7093042902541
2016-02-02,570.1,551.0,571.56,550.09,47711,-0.309383393015571,-2.0,-0.03,-0.34,0.001,-0.0209852718983675,1903.03,560.55,560.825,560.6875,574.6562028601694
2016-02-03,552.0,532.2,557.95,521.9,80086,-0.323308297613397,0.46,-0.32,0.44,0.001,-0.04031040211011683,1912.53,542.1,539.925,541.0125,563.8041352401129
2016-02-04,530.25,529.33,538.99,519.22,49380,-0.337449930992904,0.27,0.2,0.32,0.001,-0.03883529334312182,1915.45,529.79,529.105,529.4475,552.4660901600753
2016-02-05,533.0,499.5,533.03,498.5,77579,-0.351810132075527,-2.06,-1.1,1.75,0.001,0.00972528425818294,1880.05,516.25,515.765,516.0074999999999,540.3940601067169
2016-02-08,495.02,484.05,496.0,475.21,79658,-0.395502429785704,-1.51,-0.02,0.9,0.001,-0.06576007646736316,1853.44,489.53499999999997,485.605,487.57,523.4410400711446
2016-02-09,488.0,484.0,498.38,474.0,56916,-0.40955960088024,-0.1,-0.47,-0.29,0.001,-0.02833874508164541,1852.21,486.0,486.19,486.095,510.9606933807631
2016-02-10,489.48,495.0,506.16,486.0,51982,-0.42336707660893,0.01,-0.05,-0.56,0.001,-0.012430968943180633,1851.86,492.24,496.08000000000004,494.16,504.7204622538421
2016-02-11,491.0,504.1,509.3,481.0,60452,-0.436926652440684,-1.17,0.5,-1.47,0.001,0.01729517963895835,1829.08,497.55,495.15,496.35,502.33030816922803
2016-02-12,510.74,507.2,516.75,501.49,43372,-0.450240091608501,1.98,-0.54,1.14,0.001,0.026834549435935134,1864.78,508.97,509.12,509.045,504.5435387794854
2016-02-16,520.5,523.21,524.45,511.66,40394,-0.500189846672731,1.78,0.55,-0.56,0.001,0.006449681116167707,1895.58,521.855,518.0550000000001,519.955,510.3140258529903
2016-02-17,525.0,534.4,537.48,519.39,38253,-0.511266954201991,1.75,-0.05,-0.63,0.001,0.02727315942520339,1926.82,529.7,528.435,529.0675,516.7760172353269
2016-02-18,533.3,524.76,542.5,523.73,36775,-0.521712616881573,-0.51,0.0,0.21,0.001,0.024641126551569567,1917.83,529.03,533.115,531.0725,520.8606781568847
2016-02-19,523.0,535.98,535.98,515.35,37359,-0.531528193023664,0.06,0.43,-0.62,0.001,-0.017184779818694446,1917.78,529.49,525.665,527.5775,523.7371187712565
2016-02-22,543.0,558.6,560.65,539.8,43295,-0.557360843589853,1.43,-0.27,0.24,0.001,0.01868159581377935,1945.5,550.8,550.2249999999999,550.5124999999999,532.7580791808377
2016-02-23,557.0,551.75,558.99,545.33,31211,-0.565223979854422,-1.22,0.47,-0.52,0.001,0.04496366934657684,1921.27,554.375,552.1600000000001,553.2675,539.9637194538918
2016-02-24,547.36,556.8,556.8,533.15,50183,-0.572864540724935,0.53,0.68,-0.32,0.001,-0.01179402759490957,1929.8,552.0799999999999,544.9749999999999,548.5274999999999,544.0024796359279
2016-02-25,554.0,555.0,559.39,545.29,36902,-0.580283519749365,1.1,-0.43,0.23,0.001,0.0019873464415024007,1951.7,554.5,552.3399999999999,553.42,547.5016530906187
2016-02-26,560.0,553.0,562.5,552.25,39739,-0.587481881662064,-0.01,0.82,0.26,0.001,0.0020015441332600996,1948.05,556.5,557.375,556.9375,550.5011020604124
2016-02-29,551.52,553.05,564.81,550.46,60590,-0.60751471564431,-0.69,0.66,0.26,0.001,0.00014401556196990312,1932.23,552.285,557.635,554.96,551.0957347069416
2016-03-01,558.0,581.12,583.5,556.0,39424,-0.61390504591479,2.34,-0.64,0.3,0.001,-0.0048927382642595645,1978.35,569.56,569.75,569.655,557.2504898046277
2016-03-02,584.0,578.55,585.0,573.7,35218,-0.620880498580118,0.54,0.5,0.71,0.001,0.04688185379196737,1986.45,581.275,579.35,580.3125,565.2586598697519
2016-03-03,581.0,577.47,581.0,573.11,20580,-0.627722430542132,0.51,0.44,0.64,0.001,0.0020186230706262633,1993.4,579.235,577.0550000000001,578.145,569.917439913168
2016-03-04,578.0,575.6,581.63,571.06,25868,-0.634431731498292,0.37,0.27,0.28,0.001,-0.004699035979745438,1999.99,576.8,576.345,576.5725,572.2116266087787
2016-03-07,574.62,562.25,574.62,555.55,37980,-0.653211559976864,0.21,1.21,0.54,0.001,-0.004077593409586685,2001.76,568.435,565.085,566.76,570.9527510725192
2016-03-08,559.0,560.3,571.35,554.74,36740,-0.658245750151106,-1.27,-1.14,-0.49,0.001,-0.021689211584532506,1979.26,559.65,563.0450000000001,561.3475000000001,567.1851673816794
2016-03-09,565.26,559.25,565.7,550.12,68315,-0.662559138211008,0.5,0.04,0.38,0.001,-0.004523324373198974,1989.26,562.255,557.9100000000001,560.0825,565.541778254453
2016-03-10,562.38,558.5,567.0,547.9,29498,-0.666152285052297,-0.11,-0.81,0.63,0.001,-0.0014111243683820136,1989.57,560.44,557.45,558.945,563.8411855029688
2016-03-11,563.52,569.0,570.06,562.73,30005,-0.669025657913414,1.69,0.27,0.19,0.001,-0.0009656260002487147,2022.19,566.26,566.395,566.3275,564.6474570019792
2016-03-14,570.0,573.57,576.89,563.05,27536,-0.673361614264634,-0.12,-0.07,-0.87,0.001,0.018927660613183465,2019.64,571.7850000000001,569.97,570.8775,567.0266380013195
2016-03-15,570.0,577.02,581.52,567.0,30272,-0.67355309600768,-0.36,-1.43,0.67,0.001,0.0065793340728256605,2015.93,573.51,574.26,573.885,569.1877586675464
2016-03-16,576.0,569.4,581.32,562.0,28231,-0.673188952843501,0.63,0.1,-0.04,0.001,0.006345738750837133,2027.22,572.7,571.6600000000001,572.1800000000001,570.3585057783644
2016-03-17,572.02,558.5,575.5,555.01,47512,-0.672269137420377,0.72,0.84,0.58,0.001,-0.004777258787170415,2040.59,565.26,565.255,565.2574999999999,568.6590038522429
2016-03-18,561.4,552.0,562.33,546.09,56229,-0.67079353012919,0.54,0.34,-0.19,0.001,-0.026163416855503187,2049.58,556.7,554.21,555.455,564.6726692348286
2016-03-21,554.0,553.72,555.24,538.58,42193,-0.662897702934653,0.1,-0.2,-0.31,0.001,-0.013243292865630403,2051.6,553.86,546.9100000000001,550.385,561.0684461565525
2016-03-22,546.71,560.7,562.76,544.01,31808,-0.658823769619143,-0.05,-0.01,-0.45,0.001,0.0034355548052197047,2049.8,553.705,553.385,553.5450000000001,558.6139641043683
2016-03-23,561.99,568.98,572.48,558.1,32010,-0.653951770411925,-0.86,-1.17,-0.09,0.001,0.011664974855271792,2036.71,565.485,565.29,565.3875,560.9043094029123
2016-03-24,567.0,583.45,583.98,566.0,39801,-0.648281071777711,0.0,0.47,-0.06,0.001,0.016193512262304373,2035.94,575.225,574.99,575.1075000000001,565.677872935275
2016-03-28,585.5,580.02,585.99,575.56,25216,-0.617703526941887,0.04,-0.03,0.14,0.001,0.023114403936475438,2037.05,582.76,580.775,581.7674999999999,571.3719152901833
2016-03-29,579.0,594.0,595.85,576.5,34120,-0.608458787825834,1.07,1.77,-1.18,0.001,-0.005297508100107884,2055.01,586.5,586.175,586.3375,576.4146101934556
2016-03-30,598.0,598.59,603.24,595.0,30762,-0.59873346597915,0.41,-0.29,0.14,0.001,0.02383964422501931,2063.95,598.2950000000001,599.12,598.7075,583.7080734623038
2016-03-31,598.0,594.01,600.75,592.21,20964,-0.588526296759885,-0.11,0.44,-0.48,0.001,0.008100362187083375,2059.74,596.005,596.48,596.2425000000001,587.8070489748692
2016-04-01,591.31,598.55,599.03,586.91,22864,-0.577835952868587,0.64,-0.25,-0.62,0.0,-0.008470837980794557,2072.78,594.93,592.97,593.95,590.1813659832461
2016-04-04,600.1,592.6,600.1,590.55,19510,-0.548218098717673,-0.41,-0.25,-0.74,0.0,0.008153424702571613,2066.13,596.35,595.325,595.8375,592.2375773221642
2016-04-05,589.89,587.5,593.47,585.25,16914,-0.539698562895029,-0.94,-0.08,-0.36,0.0,-0.008911769225578873,2045.17,588.6949999999999,589.36,589.0275,591.0567182147761
