,Y,Y_RF,sig_1,pos_1,bal_1,sig_2,pos_2,bal_2,sig_3,pos_3,bal_3,Y_close,PL1,PL2,PL3
40,965.0,955.1128685272099,-1.0,-1.0,1019788.0,-1.0,0.0,986314.0,-1.0,-1.0,1063588.0,958.5,3900.0,0.0,-2040.0
41,961.48,961.9507275147893,1.0,1.0,1019350.0,1.0,1.0,985876.0,-1.0,-1.0,1064938.0,960.75,-438.0,-438.0,1350.0
42,961.59,961.5994198043944,1.0,1.0,1010596.0,1.0,0.0,985876.0,-1.0,-1.0,1056688.0,947.0,-8754.0,0.0,-8250.0
43,943.5,949.5968120482793,1.0,1.0,1020556.0,1.0,0.0,985876.0,-1.0,-1.0,1064548.0,960.1,9960.0,0.0,7860.0
44,963.0,959.3403265139843,-1.0,-1.0,1023250.0,-1.0,-1.0,988570.0,-1.0,-1.0,1063594.0,958.51,2694.0,2694.0,-954.0
45,961.0,960.7708032221992,-1.0,-1.0,1017850.0,-1.0,0.0,988570.0,-1.0,-1.0,1070488.0,970.0,-5400.0,0.0,6894.0
46,973.97,966.1782977362013,-1.0,-1.0,1019332.0,-1.0,0.0,988570.0,-1.0,-1.0,1071388.0,971.5,1482.0,0.0,900.0
47,973.0,971.7194157223737,-1.0,-1.0,1014892.0,-1.0,0.0,988570.0,-1.0,-1.0,1076728.0,980.4,-4440.0,0.0,5340.0
48,983.43,972.8527920294908,-1.0,-1.0,1007950.0,-1.0,0.0,988570.0,-1.0,-1.0,1085488.0,995.0,-6942.0,0.0,8760.0
49,992.99,993.4424854335615,1.0,1.0,1009606.0,1.0,1.0,990226.0,-1.0,-1.0,1085938.0,995.75,1656.0,1656.0,450.0
50,999.99,995.3908689089133,-1.0,-1.0,1011622.0,-1.0,-1.0,992242.0,-1.0,-1.0,1086466.0,996.63,2016.0,2016.0,528.0
51,998.5,998.7095496935823,1.0,1.0,1009822.0,1.0,1.0,990442.0,-1.0,-1.0,1085788.0,995.5,-1800.0,-1800.0,-678.0
52,998.5,995.7123897974277,-1.0,-1.0,1011142.0,-1.0,-1.0,991762.0,-1.0,-1.0,1086268.0,996.3,1320.0,1320.0,480.0
53,999.4,998.438158556295,-1.0,-1.0,1007482.0,-1.0,0.0,991762.0,-1.0,-1.0,1091788.0,1005.5,-3660.0,0.0,5520.0
54,1005.3,1003.8612965551563,-1.0,-1.0,1003534.0,-1.0,0.0,991762.0,-1.0,-1.0,1095616.0,1011.88,-3948.0,0.0,3828.0
55,1010.76,1009.9659419688862,-1.0,-1.0,1007098.0,-1.0,0.0,991762.0,-1.0,-1.0,1091380.0,1004.82,3564.0,0.0,-4236.0
56,1005.21,1007.6878608106124,1.0,1.0,1009978.0,1.0,1.0,994642.0,-1.0,-1.0,1094494.0,1010.01,2880.0,2880.0,3114.0
57,1014.7,1010.929285014867,-1.0,-1.0,1013398.0,-1.0,-1.0,998062.0,-1.0,-1.0,1093888.0,1009.0,3420.0,3420.0,-606.0
58,1011.0,1011.8275400056613,1.0,1.0,993238.0,1.0,1.0,977902.0,-1.0,-1.0,1074928.0,977.4,-20160.0,-20160.0,-18960.0
59,977.0,972.7068792653336,-1.0,-1.0,1000438.0,-1.0,-1.0,985102.0,-1.0,-1.0,1067488.0,965.0,7200.0,7200.0,-7440.0
60,970.95,971.1224158717372,1.0,1.0,1006726.0,1.0,1.0,991390.0,-1.0,-1.0,1077346.0,981.43,6288.0,6288.0,9858.0
61,983.5,979.8118352570433,-1.0,-1.0,1013026.0,-1.0,-1.0,997690.0,-1.0,-1.0,1072288.0,973.0,6300.0,6300.0,-5058.0
62,963.31,978.7062446762704,1.0,1.0,1012360.0,1.0,1.0,997024.0,-1.0,-1.0,1065808.0,962.2,-666.0,-666.0,-6480.0
63,969.59,962.5660283289404,-1.0,-1.0,1000846.0,-1.0,-1.0,985510.0,-1.0,-1.0,1081756.0,988.78,-11514.0,-11514.0,15948.0
64,994.0,988.1616928087996,-1.0,-1.0,999718.0,-1.0,0.0,985510.0,-1.0,-1.0,1086016.0,995.88,-1128.0,0.0,4260.0
65,999.0,996.010968516176,-1.0,-1.0,1002790.0,-1.0,0.0,985510.0,-1.0,-1.0,1084816.0,993.88,3072.0,0.0,-1200.0
66,992.85,991.771461502614,-1.0,-1.0,997660.0,-1.0,0.0,985510.0,-1.0,-1.0,1089328.0,1001.4,-5130.0,0.0,4512.0
67,1002.29,1000.510452707106,-1.0,-1.0,997834.0,-1.0,0.0,985510.0,-1.0,-1.0,1089688.0,1002.0,174.0,0.0,360.0
68,1005.0,1003.5601064649862,-1.0,-1.0,998434.0,-1.0,0.0,985510.0,-1.0,-1.0,1090888.0,1004.0,600.0,0.0,1200.0
69,1004.02,1003.914243292871,-1.0,-1.0,1004116.0,-1.0,0.0,985510.0,-1.0,-1.0,1085218.0,994.55,5682.0,0.0,-5670.0
70,994.0,1000.816730070716,1.0,1.0,993916.0,1.0,1.0,975310.0,-1.0,-1.0,1074688.0,977.0,-10200.0,-10200.0,-10530.0
71,974.69,985.4723589269407,1.0,1.0,1004002.0,1.0,0.0,975310.0,-1.0,-1.0,1083388.0,991.5,10086.0,0.0,8700.0
