Y,Y_rf,Y_close
852.52,851.9364959430198,852.69
852.96,852.6728562353691,856.7
859.0,857.201190746919,841.8
839.5,847.2893389087799,848.3
848.11,844.5187766999924,847.75
849.5,850.0604285170895,845.39
838.5,846.4304599096461,847.49
848.0,849.4710265596505,858.0
860.01,853.3517595374677,875.25
874.89,868.9717338924361,876.45
875.12,874.7843535317149,886.66
888.1,883.8561593712332,890.25
889.6,887.6422678761046,907.09
908.52,898.0314892542251,908.5
908.5,907.663577067955,899.75
897.77,900.5630495794729,894.78
894.5,895.0606605679062,907.99
909.4,903.2538301464643,903.0
903.0,904.5238578217279,896.1
896.23,896.5259874256756,884.67
886.31,886.5510818070795,902.7
901.31,900.4171661003812,902.9
904.6,904.8386107722707,900.29
901.21,900.2052002527859,903.0
904.6,904.6252181980217,897.0
912.0,904.5834476303799,907.53
904.41,906.797837388053,907.04
908.2,908.6540120556268,909.0
910.9,911.257854977193,954.0
949.44,941.4721678885846,924.75
926.0,925.5698566823078,950.99
951.15,941.1589072026385,944.9
946.16,947.590599825961,940.83
944.99,943.0481391180065,937.3
934.5,936.6475195198536,935.88
937.88,934.3518287593561,949.1
950.5,944.7634714197602,951.88
952.42,952.7948804023578,948.95
948.6,949.4025671948497,947.31
947.39,945.4981773832357,961.9
965.0,955.1128685272101,958.5
961.48,961.9507275147892,960.75
961.59,961.5994198043944,947.0
943.5,949.5968120482792,960.1
963.0,959.3403265139845,958.51
961.0,960.7708032221991,970.0
973.97,966.1782977362011,971.5
973.0,971.7194157223737,980.4
983.43,972.8527920294907,995.0
992.99,993.4424854335617,995.75
999.99,995.3908689089131,996.63
998.5,998.7095496935825,995.5
998.5,995.7123897974277,996.3
999.4,998.438158556295,1005.5
1005.3,1003.8612965551562,1011.88
1010.76,1009.9659419688862,1004.82
1005.21,1007.6878608106123,1010.01
1014.7,1010.929285014867,1009.0
1011.0,1011.8275400056611,977.4
977.0,972.7068792653336,965.0
970.95,971.1224158717371,981.43
983.5,979.8118352570434,973.0
963.31,978.7062446762703,962.2
969.59,962.5660283289403,988.78
994.0,988.1616928087996,995.88
999.0,996.0109685161759,993.88
992.85,991.7714615026141,1001.4
1002.29,1000.5104527071059,1002.0
1005.0,1003.5601064649862,1004.0
1004.02,1003.914243292871,994.55
994.0,1000.816730070716,977.0
974.69,985.4723589269407,991.5
995.1,994.5796661565942,972.37
975.0,978.961494097102,968.5
974.0,974.7540725949334,954.89
952.48,961.8939591554297,971.4
962.36,963.3604294743099,965.85
966.01,968.2299895561081,979.4
984.23,975.103005892682,997.99
999.44,995.224173091556,994.5
995.99,994.1678407757313,1006.85
1008.2,1005.5660848898599,999.43
1001.78,1003.4764457164418,1002.11
1003.0,1003.1244000077614,1012.25
1010.65,1010.7643281094252,1025.3
1025.26,1019.8580596998275,1027.66
1028.64,1028.7140485769648,1025.0
1028.5,1026.5209163117097,1026.0
1025.0,1024.8740514490923,1036.75
1036.0,1036.1611426854186,1039.66
1041.88,1041.903629408968,1062.75
1062.0,1057.1601051572309,1014.41
1020.21,1033.8299990947469,1019.2
1024.0,1025.361617646337,985.59
995.0,1002.1302882689962,1001.77
1003.0,1004.9772981207168,995.66
997.89,999.0110276478758,986.92
988.05,994.5168160946976,986.9
993.1,993.6468566564513,990.79
993.13,990.4913210090847,985.45
983.5,994.5801055790923,981.44
977.0,985.8515989963346,954.0
952.1,971.6486037561233,968.3
979.69,977.1391434362309,983.75
987.35,987.0387991314134,980.51
987.0,986.682479538019,976.25
977.99,979.078905749116,957.2
961.0,970.7996640941957,956.5
957.84,962.7058766523071,953.85
956.95,956.0448264264008,966.5
964.25,966.5877929742586,953.7
959.0,964.5538379517691,954.0
957.15,955.7232295124171,945.0
945.7,956.3662650655131,940.5
935.0,943.531814058123,955.25
956.6,954.9391046524535,967.92
970.49,969.2808907894718,981.0
982.63,981.186956166029,979.49
977.89,982.1745241327327,966.38
968.24,970.9946404567661,967.25
970.0,969.724705139403,980.23
976.67,979.7671461641061,966.02
973.03,972.9071668611487,978.02
981.4,979.8871854655224,983.42
983.75,983.8007859808881,999.69
1001.8,995.1490443532718,988.67
989.13,987.6724497292993,987.65
991.19,991.0243772342579,975.4
978.0,979.9394442366049,969.75
971.0,973.748021512497,973.0
973.69,972.7935659424444,963.55
964.0,968.8730772911352,952.25
954.0,959.5078466803802,938.1
943.87,945.548313075779,938.75
943.39,943.6381891921367,951.2
952.0,952.3687680944814,956.1
960.75,958.4179374541936,961.35
963.1,964.3891817407799,958.05
959.79,961.1707663405606,956.99
954.0,956.6408057285628,965.94
967.0,965.1464166675335,980.4
980.08,977.812657438498,989.25
994.89,986.8849370606353,990.95
992.9,990.9048446161212,986.5
989.1,987.6649144114642,994.93
997.3,992.216495608813,1000.0
1004.79,999.4974800029797,1003.5
1006.0,1006.3941480067654,1007.2
1006.63,1006.9374128251163,1009.19
1009.5,1006.3784696331103,998.8
995.0,1004.5495346136905,988.0
991.75,992.2163130784941,983.5
984.0,987.3012680356371,966.06
968.1,973.0129573145692,976.17
977.0,975.510782586224,975.25
978.4,978.1364213353519,1047.0
1042.0,1023.1143194823737,1102.0
1096.8,1074.7409668801522,1112.5
1113.55,1099.0324383500135,1106.0
1109.18,1109.430432286274,1100.0
1100.0,1103.0515747182653,1095.0
1095.0,1095.0546636609818,1109.6
1111.47,1116.3565714769102,1120.35
1121.98,1122.9259110443536,1121.63
1121.2,1124.0214501089765,1134.0
1130.0,1136.6217646919026,1129.68
1125.33,1123.9142663124344,1124.31
1125.38,1129.3474308478928,1129.02
1130.26,1129.2812879690434,1134.12
1133.0,1129.76465016883,1127.97
1133.77,1130.619715888259,1137.85
1136.99,1132.246542316709,1130.0
1129.35,1127.5501128581004,1126.6
1126.6,1124.526823601702,1140.5
1142.17,1144.0624719819757,1157.11
1165.0,1149.5963523753005,1187.0
1193.0,1173.880024845223,1194.5
1197.0,1193.4829199934131,1190.5
1193.0,1189.4699917722417,1161.5
1162.57,1164.554677589948,1180.6
1170.41,1172.0902773211048,1162.2
1170.5,1170.2312510265356,1134.04
1134.07,1144.2429452285035,1143.03
1139.28,1138.051240163092,1157.0
1157.23,1163.1606884993766,1162.4
1165.0,1164.3144140322656,1162.35
1162.35,1163.2093747988836,1168.45
1169.98,1169.0289983977182,1163.52
1169.28,1170.7017995337872,1164.51
1164.99,1164.9265312097114,1174.24
1176.07,1174.0238699599315,1178.4
1188.74,1177.5805074578375,1192.23
1195.0,1189.3232636131697,1187.0
1190.8,1190.9193726507724,1173.55
1177.77,1179.085624543374,1175.2
1175.0,1175.236576040694,1167.0
1167.5,1169.9052052007632,1176.76
1178.0,1173.4699961720755,1182.9
1187.79,1184.1654644959676,1186.35
