,Date,Open ,High,Low,Close ,Volume,ADS_Index,Mkt-RF,SMB,HML,RF,returns
0,2016-01-06 00:00:00,623.77,639.79,618.64,635.2,40167.0,-0.30808929836995,,,,,
1,2016-01-07 00:00:00,620.55,630.0,605.21,606.0,54784.0,-0.294334959848744,,,,,
2,2016-01-08 00:00:00,617.05,624.14,606.0,608.36,42130.0,-0.281487553518761,,,,,
3,2016-01-11 00:00:00,612.0,619.85,598.57,617.51,75915.0,-0.248492833359153,,,,,
4,2016-01-12 00:00:00,620.84,625.99,612.24,619.28,36843.0,-0.239262607696132,,,,,
5,2016-01-13 00:00:00,623.0,623.5,579.16,580.0,60233.0,-0.230815095397068,,,,,
6,2016-01-14 00:00:00,583.33,602.25,569.88,597.0,57738.0,-0.223149197981257,,,,,
7,2016-01-15 00:00:00,592.99,592.99,565.3,570.7,58903.0,-0.216263918606063,,,,,
8,2016-01-19 00:00:00,581.0,584.0,566.45,575.0,36261.0,-0.198060905394627,,,,,
9,2016-01-20 00:00:00,564.0,578.45,547.18,575.0,61043.0,-0.197446860430805,,,,,
10,2016-01-21 00:00:00,565.0,588.81,561.0,573.25,36968.0,-0.198680208493898,,,,,
11,2016-01-22 00:00:00,586.3,600.1,583.0,597.41,40188.0,-0.201761109963555,,,,,
12,2016-01-25 00:00:00,594.05,608.5,594.05,598.22,32520.0,-0.2212633064577,,,,,
13,2016-01-26 00:00:00,596.12,604.5,590.38,598.2,28218.0,-0.229753687526685,,,,,
14,2016-01-27 00:00:00,597.97,603.39,578.78,596.0,38211.0,-0.238939663197664,,,,,
15,2016-01-28 00:00:00,605.0,638.06,540.0,550.0,90388.0,-0.248822427978167,,,,,
16,2016-01-29 00:00:00,556.5,593.0,556.5,586.5,112107.0,-0.259403266983392,,,,,
17,2016-02-01 00:00:00,586.0,586.0,570.31,575.0,50347.0,-0.295673406460539,,,,,
18,2016-02-02 00:00:00,570.1,571.56,550.09,551.0,47711.0,-0.309383393015571,,,,,
19,2016-02-03 00:00:00,552.0,557.95,521.9,532.2,80086.0,-0.323308297613397,,,,,
